AREA,AREA NAME,LAT,LON
1,Central,33.95285696816603,-117.92132921749864
2,Rampart,33.988634038781875,-118.01398977918251
3,Southwest,33.9818033124098,-118.18247514040792
4,Hollenbeck,33.977920501415284,-117.93891131688908
5,Harbor,33.72170360329941,-118.11114974916791
6,Hollywood,33.88994366393286,-117.60292337974442
7,Wilshire,33.96935588930348,-118.03068626865671
8,West LA,34.01653628392119,-118.31886271019658
9,Van Nuys,34.12133051792085,-118.24831483338387
10,West Valley,34.1571735542483,-118.41656848996632
11,Northeast,34.07214282156325,-118.12431401703833
12,77th Street,33.904524220002266,-118.04256981364247
13,Newton,33.941810406457776,-118.02494211382445
14,Pacific,33.884759280913975,-118.07929028729839
15,N Hollywood,34.11011416635686,-118.17152040229323
16,Foothill,34.17229626388218,-118.11452466803478
17,Devonshire,34.171591809127044,-118.26628492074894
18,Southeast,33.8430670791534,-117.93324396587974
19,Mission,34.15912887650192,-118.11599196581197
20,Olympic,33.97173770445966,-117.99325826326617
21,Topanga,34.167282151488784,-118.51518576227765
