AREA,LAT,LON,crime_count
1,33.95285696816603,-117.92132921749864,69674
2,33.988634038781875,-118.01398977918251,46826
3,33.9818033124098,-118.18247514040792,57511
4,33.977920501415284,-117.93891131688908,37095
5,33.72170360329941,-118.11114974916791,41462
6,33.88994366393286,-117.60292337974442,52430
7,33.96935588930348,-118.03068626865671,48240
8,34.01653628392119,-118.31886271019658,45731
9,34.12133051792085,-118.24831483338387,42883
10,34.1571735542483,-118.41656848996632,42158
11,34.07214282156325,-118.12431401703833,42962
12,33.904524220002266,-118.04256981364247,61763
13,33.941810406457776,-118.02494211382445,49181
14,33.884759280913975,-118.07929028729839,59520
15,34.11011416635686,-118.17152040229323,51107
16,34.17229626388218,-118.11452466803478,33136
17,34.171591809127044,-118.26628492074894,41766
18,33.8430670791534,-117.93324396587974,49941
19,34.15912887650192,-118.11599196581197,40365
20,33.97173770445966,-117.99325826326617,50071
21,34.167282151488784,-118.51518576227765,41376
